sequenceID	full_name	name	species	subgenus	genotype	host_common_name	host_sci_name	isolate	collection_year	country	pubmed_id
GU385354	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
GU385355	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
GU385357	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
GU385358	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
GU385359	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
GU385360	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
GU385361	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
GU385362	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
GU385363	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
GU385364	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
GU385365	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
HM141909	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
HM141910	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
HM141911	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
HM141912	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
HM141913	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
HM141914	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
HM141915	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
HM141916	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
HM141917	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
HM141918	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
HM141919	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
HM141920	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
HM141921	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
HM141922	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
HM141923	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		NK	China	21136127
JX003263	Equine infectious anemia virus	EIAV	EIAV	Equine	Asian	Domestic horse	Equus caballus		2011	Japan	23100364
JX480631	Equine infectious anemia virus	EIAV	EIAV	Equine	European1	Domestic horse	Equus caballus		2006	Ireland	23175240
JX480632	Equine infectious anemia virus	EIAV	EIAV	Equine	European1	Domestic horse	Equus caballus		2006	Ireland	23175240
JX480633	Equine infectious anemia virus	EIAV	EIAV	Equine	European1	Domestic horse	Equus caballus		2006	Ireland	23175240
JX480634	Equine infectious anemia virus	EIAV	EIAV	Equine	European1	Domestic horse	Equus caballus		2006	Ireland	23175240
M16575	Equine infectious anemia virus	EIAV	EIAV	Equine	American	Domestic horse	Equus caballus		NK	NK	NK
M87581	Equine infectious anemia virus	EIAV	EIAV	Equine	American	Domestic horse	Equus caballus		NK	NK	1318398
MH580896	Equine infectious anemia virus	EIAV	EIAV	Equine	European2	Domestic horse	Equus caballus		1975	United Kingdom	NK
MH580897	Equine infectious anemia virus	EIAV	EIAV	Equine	European1	Domestic horse	Equus caballus		2010	United Kingdom	NK
MK593462	Equine infectious anemia virus	EIAV	EIAV	Equine	European2	Domestic horse	Equus caballus		2014	France	31493650
MK593463	Equine infectious anemia virus	EIAV	EIAV	Equine	European1	Domestic horse	Equus caballus		2014	France	31493650
MN560970	Equine infectious anemia virus	EIAV	EIAV	Equine	Brazil	Domestic horse	Equus caballus		2015	Brazil	32059508
NC_001450	Equine infectious anemia virus	EIAV	EIAV	Equine	American	Domestic horse	Equus caballus		NK	NK	NK
ON615427	Equine infectious anemia virus	EIAV	EIAV	Equine	Brazil	Domestic horse	Equus caballus		2014	Brazil	NK
U01866	Equine infectious anemia virus	EIAV	EIAV	Equine	American	Domestic horse	Equus caballus		NK	NK	8113766
