sequenceID	source.name	genotype	subtype
AF172102	ncbi-nuccore-equine	Am	-
AF172103	ncbi-nuccore-equine	Am	-
AF172104	ncbi-nuccore-equine	Am	-
AF172105	ncbi-nuccore-equine	Am	-
AF172106	ncbi-nuccore-equine	Am	-
AF172107	ncbi-nuccore-equine	Am	-
AF172108	ncbi-nuccore-equine	Am	-
AF172109	ncbi-nuccore-equine	Am	-
AF172110	ncbi-nuccore-equine	Am	-
AF172111	ncbi-nuccore-equine	Am	-
AF172112	ncbi-nuccore-equine	Am	-
AF172113	ncbi-nuccore-equine	Am	-
AF172114	ncbi-nuccore-equine	Am	-
AF172115	ncbi-nuccore-equine	Am	-
AF172116	ncbi-nuccore-equine	Am	-
AF172117	ncbi-nuccore-equine	Am	-
AF172118	ncbi-nuccore-equine	Am	-
AF172119	ncbi-nuccore-equine	Am	-
AF172120	ncbi-nuccore-equine	Am	-
AF172121	ncbi-nuccore-equine	Am	-
AF172122	ncbi-nuccore-equine	Am	-
AF172123	ncbi-nuccore-equine	Am	-
AF172124	ncbi-nuccore-equine	Am	-
AF172125	ncbi-nuccore-equine	Am	-
AF172126	ncbi-nuccore-equine	Am	-
AF172127	ncbi-nuccore-equine	Am	-
AF172128	ncbi-nuccore-equine	Am	-
AF172129	ncbi-nuccore-equine	Am	-
AF172130	ncbi-nuccore-equine	Am	-
AF172131	ncbi-nuccore-equine	Am	-
AF172132	ncbi-nuccore-equine	Am	-
AF172133	ncbi-nuccore-equine	Am	-
AF172134	ncbi-nuccore-equine	Am	-
AF172135	ncbi-nuccore-equine	Am	-
AF172136	ncbi-nuccore-equine	Am	-
AF172137	ncbi-nuccore-equine	Am	-
AF172138	ncbi-nuccore-equine	Am	-
AF172139	ncbi-nuccore-equine	Am	-
AF172140	ncbi-nuccore-equine	Am	-
AF172141	ncbi-nuccore-equine	Am	-
AF172142	ncbi-nuccore-equine	Am	-
AF172143	ncbi-nuccore-equine	Am	-
AF429316	ncbi-nuccore-equine	Am	-
AF429317	ncbi-nuccore-equine	Am	-
AF429318	ncbi-nuccore-equine	Am	-
AF429319	ncbi-nuccore-equine	Am	-
AF429320	ncbi-nuccore-equine	Am	-
AF429321	ncbi-nuccore-equine	Am	-
AF429322	ncbi-nuccore-equine	Am	-
AF429323	ncbi-nuccore-equine	Am	-
AF429324	ncbi-nuccore-equine	Am	-
AF429325	ncbi-nuccore-equine	Am	-
AF429326	ncbi-nuccore-equine	Am	-
AF429327	ncbi-nuccore-equine	Am	-
AF429328	ncbi-nuccore-equine	Am	-
AF429329	ncbi-nuccore-equine	Am	-
AF429330	ncbi-nuccore-equine	Am	-
AF429331	ncbi-nuccore-equine	Am	-
AF429332	ncbi-nuccore-equine	Am	-
AF429333	ncbi-nuccore-equine	Am	-
AF429334	ncbi-nuccore-equine	Am	-
AF429335	ncbi-nuccore-equine	Am	-
AF429336	ncbi-nuccore-equine	Am	-
AF429337	ncbi-nuccore-equine	Am	-
AF429338	ncbi-nuccore-equine	Am	-
AF429339	ncbi-nuccore-equine	Am	-
AF429340	ncbi-nuccore-equine	Am	-
AF429341	ncbi-nuccore-equine	Am	-
AF429342	ncbi-nuccore-equine	Am	-
AF429343	ncbi-nuccore-equine	Am	-
AF429344	ncbi-nuccore-equine	Am	-
AF429345	ncbi-nuccore-equine	Am	-
AF429346	ncbi-nuccore-equine	Am	-
AF429347	ncbi-nuccore-equine	Am	-
AF429348	ncbi-nuccore-equine	Am	-
AF429349	ncbi-nuccore-equine	Am	-
AF429350	ncbi-nuccore-equine	Am	-
AF429351	ncbi-nuccore-equine	Am	-
AF429352	ncbi-nuccore-equine	Am	-
AF429353	ncbi-nuccore-equine	Am	-
AF509240	ncbi-nuccore-equine	Am	-
AX283609	ncbi-nuccore-equine	Am	-
AY237386	ncbi-nuccore-equine	Am	-
AY237387	ncbi-nuccore-equine	Am	-
AY237388	ncbi-nuccore-equine	Am	-
AY237389	ncbi-nuccore-equine	Am	-
AY742243	ncbi-nuccore-equine	Am	-
AY742244	ncbi-nuccore-equine	Am	-
AY742245	ncbi-nuccore-equine	Am	-
AY742246	ncbi-nuccore-equine	Am	-
AY742247	ncbi-nuccore-equine	Am	-
AY742248	ncbi-nuccore-equine	Am	-
AY742249	ncbi-nuccore-equine	Am	-
AY742250	ncbi-nuccore-equine	Am	-
AY742251	ncbi-nuccore-equine	Am	-
AY742252	ncbi-nuccore-equine	Am	-
AY742253	ncbi-nuccore-equine	Am	-
AY742254	ncbi-nuccore-equine	Am	-
AY742255	ncbi-nuccore-equine	Am	-
BD455722	ncbi-nuccore-equine	Am	-
D87645	ncbi-nuccore-equine	Am	-
D87646	ncbi-nuccore-equine	Am	-
D87647	ncbi-nuccore-equine	Am	-
D87648	ncbi-nuccore-equine	Am	-
D87649	ncbi-nuccore-equine	Am	-
D87650	ncbi-nuccore-equine	Am	-
D87651	ncbi-nuccore-equine	Am	-
D87652	ncbi-nuccore-equine	Am	-
D87653	ncbi-nuccore-equine	Am	-
D87654	ncbi-nuccore-equine	Am	-
D87655	ncbi-nuccore-equine	Am	-
D87656	ncbi-nuccore-equine	Am	-
DL141650	ncbi-nuccore-equine	Am	-
EF418582	ncbi-nuccore-equine	Am	-
EF418583	ncbi-nuccore-equine	-	-
EF418584	ncbi-nuccore-equine	Am	-
EF418585	ncbi-nuccore-equine	Am	-
EU239397	ncbi-nuccore-equine	As	-
EU239398	ncbi-nuccore-equine	As	-
EU239399	ncbi-nuccore-equine	As	-
EU239400	ncbi-nuccore-equine	As	-
EU239401	ncbi-nuccore-equine	As	-
EU239402	ncbi-nuccore-equine	As	-
EU239403	ncbi-nuccore-equine	As	-
EU239404	ncbi-nuccore-equine	As	-
EU239405	ncbi-nuccore-equine	As	-
EU239406	ncbi-nuccore-equine	As	-
EU239407	ncbi-nuccore-equine	As	-
EU239408	ncbi-nuccore-equine	As	-
EU239409	ncbi-nuccore-equine	As	-
EU239410	ncbi-nuccore-equine	As	-
EU239411	ncbi-nuccore-equine	As	-
EU239412	ncbi-nuccore-equine	As	-
EU239413	ncbi-nuccore-equine	As	-
EU239414	ncbi-nuccore-equine	As	-
EU239415	ncbi-nuccore-equine	As	-
EU239416	ncbi-nuccore-equine	As	-
EU239417	ncbi-nuccore-equine	As	-
EU239418	ncbi-nuccore-equine	As	-
EU239419	ncbi-nuccore-equine	As	-
EU239420	ncbi-nuccore-equine	As	-
EU239421	ncbi-nuccore-equine	As	-
EU239422	ncbi-nuccore-equine	As	-
EU239423	ncbi-nuccore-equine	As	-
EU239424	ncbi-nuccore-equine	As	-
EU239425	ncbi-nuccore-equine	As	-
EU239426	ncbi-nuccore-equine	As	-
EU239427	ncbi-nuccore-equine	As	-
EU239428	ncbi-nuccore-equine	As	-
EU239429	ncbi-nuccore-equine	As	-
EU239430	ncbi-nuccore-equine	As	-
EU240733	ncbi-nuccore-equine	Eu1	-
EU375543	ncbi-nuccore-equine	Eu1	-
EU375544	ncbi-nuccore-equine	Eu1	-
EU741609	ncbi-nuccore-equine	Eu1	-
GQ229581	ncbi-nuccore-equine	Eu1	-
GQ265785	ncbi-nuccore-equine	Eu1	-
GQ338291	ncbi-nuccore-equine	Am	-
GQ338292	ncbi-nuccore-equine	Am	-
GQ338293	ncbi-nuccore-equine	Am	-
GQ338294	ncbi-nuccore-equine	Am	-
GQ338295	ncbi-nuccore-equine	Am	-
GQ338296	ncbi-nuccore-equine	Am	-
GQ855742	ncbi-nuccore-equine	Am	-
GQ855743	ncbi-nuccore-equine	Am	-
GQ855744	ncbi-nuccore-equine	Am	-
GQ855745	ncbi-nuccore-equine	Am	-
GQ855746	ncbi-nuccore-equine	Am	-
GQ855747	ncbi-nuccore-equine	Am	-
GQ855748	ncbi-nuccore-equine	Am	-
GQ855749	ncbi-nuccore-equine	Am	-
GQ855750	ncbi-nuccore-equine	Am	-
GQ855751	ncbi-nuccore-equine	Am	-
GQ855752	ncbi-nuccore-equine	Am	-
GQ855753	ncbi-nuccore-equine	Am	-
GQ855754	ncbi-nuccore-equine	Am	-
GQ855755	ncbi-nuccore-equine	Am	-
GQ855756	ncbi-nuccore-equine	Am	-
GQ855757	ncbi-nuccore-equine	Am	-
GQ855758	ncbi-nuccore-equine	Am	-
GQ923952	ncbi-nuccore-equine	-	-
GU060662	ncbi-nuccore-equine	-	-
GU060663	ncbi-nuccore-equine	-	-
GU060664	ncbi-nuccore-equine	-	-
HM177435	ncbi-nuccore-equine	Eu1	-
HM177436	ncbi-nuccore-equine	-	-
HM177437	ncbi-nuccore-equine	Eu1	-
HM177438	ncbi-nuccore-equine	Eu1	-
HQ008940	ncbi-nuccore-equine	As	-
HQ008941	ncbi-nuccore-equine	As	-
HQ008942	ncbi-nuccore-equine	As	-
HQ008943	ncbi-nuccore-equine	As	-
HQ008944	ncbi-nuccore-equine	As	-
HQ008945	ncbi-nuccore-equine	As	-
HQ008946	ncbi-nuccore-equine	As	-
HQ008947	ncbi-nuccore-equine	As	-
HQ008948	ncbi-nuccore-equine	As	-
HQ008949	ncbi-nuccore-equine	As	-
HQ008950	ncbi-nuccore-equine	As	-
HQ008951	ncbi-nuccore-equine	As	-
HQ008952	ncbi-nuccore-equine	As	-
HQ008953	ncbi-nuccore-equine	As	-
HQ008954	ncbi-nuccore-equine	As	-
HQ008955	ncbi-nuccore-equine	As	-
HQ008956	ncbi-nuccore-equine	As	-
HQ008957	ncbi-nuccore-equine	As	-
HQ008958	ncbi-nuccore-equine	As	-
HQ008959	ncbi-nuccore-equine	As	-
HQ008960	ncbi-nuccore-equine	As	-
HQ008961	ncbi-nuccore-equine	As	-
HQ008962	ncbi-nuccore-equine	As	-
HQ008963	ncbi-nuccore-equine	As	-
HQ008964	ncbi-nuccore-equine	As	-
HQ008965	ncbi-nuccore-equine	As	-
HQ008966	ncbi-nuccore-equine	As	-
HQ008967	ncbi-nuccore-equine	As	-
HQ008968	ncbi-nuccore-equine	As	-
HQ008969	ncbi-nuccore-equine	As	-
HQ008970	ncbi-nuccore-equine	As	-
HQ008971	ncbi-nuccore-equine	As	-
HQ008972	ncbi-nuccore-equine	As	-
HQ008973	ncbi-nuccore-equine	As	-
HQ008974	ncbi-nuccore-equine	As	-
HQ008975	ncbi-nuccore-equine	As	-
HQ008976	ncbi-nuccore-equine	As	-
HQ008977	ncbi-nuccore-equine	As	-
HQ008978	ncbi-nuccore-equine	As	-
HQ008979	ncbi-nuccore-equine	As	-
HQ008980	ncbi-nuccore-equine	As	-
HQ008981	ncbi-nuccore-equine	As	-
HQ008982	ncbi-nuccore-equine	As	-
HQ008983	ncbi-nuccore-equine	As	-
HQ008984	ncbi-nuccore-equine	As	-
HQ008985	ncbi-nuccore-equine	As	-
HQ008986	ncbi-nuccore-equine	As	-
HQ008987	ncbi-nuccore-equine	As	-
HQ008988	ncbi-nuccore-equine	As	-
HQ008989	ncbi-nuccore-equine	As	-
HQ008990	ncbi-nuccore-equine	As	-
HQ008991	ncbi-nuccore-equine	As	-
HQ008992	ncbi-nuccore-equine	As	-
HQ008993	ncbi-nuccore-equine	As	-
HQ008994	ncbi-nuccore-equine	As	-
HQ008995	ncbi-nuccore-equine	As	-
HQ008996	ncbi-nuccore-equine	As	-
HQ008997	ncbi-nuccore-equine	As	-
HQ008998	ncbi-nuccore-equine	As	-
HQ008999	ncbi-nuccore-equine	As	-
HQ009000	ncbi-nuccore-equine	As	-
HQ009001	ncbi-nuccore-equine	As	-
HQ009002	ncbi-nuccore-equine	As	-
HQ009003	ncbi-nuccore-equine	As	-
HQ009004	ncbi-nuccore-equine	As	-
HQ009005	ncbi-nuccore-equine	As	-
HQ009006	ncbi-nuccore-equine	As	-
HQ009007	ncbi-nuccore-equine	As	-
HQ009008	ncbi-nuccore-equine	As	-
HQ009009	ncbi-nuccore-equine	As	-
HQ009010	ncbi-nuccore-equine	As	-
HQ009011	ncbi-nuccore-equine	As	-
HQ009012	ncbi-nuccore-equine	As	-
HQ009013	ncbi-nuccore-equine	As	-
HQ009014	ncbi-nuccore-equine	As	-
HQ009015	ncbi-nuccore-equine	As	-
HQ009016	ncbi-nuccore-equine	As	-
HQ009017	ncbi-nuccore-equine	As	-
HQ009018	ncbi-nuccore-equine	As	-
HQ009019	ncbi-nuccore-equine	As	-
HQ009020	ncbi-nuccore-equine	As	-
HQ009021	ncbi-nuccore-equine	As	-
HQ009022	ncbi-nuccore-equine	As	-
HQ009023	ncbi-nuccore-equine	As	-
HQ009024	ncbi-nuccore-equine	As	-
HQ009025	ncbi-nuccore-equine	As	-
HQ009026	ncbi-nuccore-equine	As	-
HQ009027	ncbi-nuccore-equine	As	-
HQ009028	ncbi-nuccore-equine	As	-
HQ009029	ncbi-nuccore-equine	As	-
HQ009030	ncbi-nuccore-equine	As	-
HQ009031	ncbi-nuccore-equine	As	-
HQ009032	ncbi-nuccore-equine	As	-
HQ009033	ncbi-nuccore-equine	As	-
HQ009034	ncbi-nuccore-equine	As	-
HQ009035	ncbi-nuccore-equine	As	-
HQ009036	ncbi-nuccore-equine	As	-
HQ009037	ncbi-nuccore-equine	As	-
HQ009038	ncbi-nuccore-equine	As	-
HQ009039	ncbi-nuccore-equine	As	-
HQ009040	ncbi-nuccore-equine	As	-
HQ009041	ncbi-nuccore-equine	As	-
HQ009042	ncbi-nuccore-equine	As	-
HQ009043	ncbi-nuccore-equine	As	-
HQ009044	ncbi-nuccore-equine	As	-
HQ009045	ncbi-nuccore-equine	As	-
HQ009046	ncbi-nuccore-equine	As	-
HQ009047	ncbi-nuccore-equine	As	-
HQ009048	ncbi-nuccore-equine	As	-
HQ009049	ncbi-nuccore-equine	As	-
HQ009050	ncbi-nuccore-equine	As	-
HQ009051	ncbi-nuccore-equine	As	-
HQ009052	ncbi-nuccore-equine	As	-
HQ009053	ncbi-nuccore-equine	As	-
HQ009054	ncbi-nuccore-equine	As	-
HQ009055	ncbi-nuccore-equine	As	-
HQ009056	ncbi-nuccore-equine	As	-
HQ009057	ncbi-nuccore-equine	As	-
HQ009058	ncbi-nuccore-equine	As	-
HQ009059	ncbi-nuccore-equine	As	-
HQ009060	ncbi-nuccore-equine	As	-
HQ009061	ncbi-nuccore-equine	As	-
HQ009062	ncbi-nuccore-equine	As	-
HQ009063	ncbi-nuccore-equine	As	-
HQ009064	ncbi-nuccore-equine	As	-
HQ009065	ncbi-nuccore-equine	As	-
HQ009066	ncbi-nuccore-equine	As	-
HQ009067	ncbi-nuccore-equine	As	-
HQ009068	ncbi-nuccore-equine	As	-
HQ009069	ncbi-nuccore-equine	As	-
HQ009070	ncbi-nuccore-equine	As	-
HQ009071	ncbi-nuccore-equine	As	-
HQ009072	ncbi-nuccore-equine	As	-
HQ009073	ncbi-nuccore-equine	As	-
HQ009074	ncbi-nuccore-equine	As	-
HQ009075	ncbi-nuccore-equine	As	-
HQ009076	ncbi-nuccore-equine	As	-
HQ009077	ncbi-nuccore-equine	As	-
HQ009078	ncbi-nuccore-equine	As	-
HQ009079	ncbi-nuccore-equine	As	-
HQ009080	ncbi-nuccore-equine	As	-
HQ009081	ncbi-nuccore-equine	As	-
HQ009082	ncbi-nuccore-equine	As	-
HQ009083	ncbi-nuccore-equine	As	-
HQ009084	ncbi-nuccore-equine	As	-
HQ009085	ncbi-nuccore-equine	As	-
HQ009086	ncbi-nuccore-equine	As	-
HQ009087	ncbi-nuccore-equine	As	-
HQ009088	ncbi-nuccore-equine	As	-
HQ009089	ncbi-nuccore-equine	As	-
HQ009090	ncbi-nuccore-equine	As	-
HQ009091	ncbi-nuccore-equine	As	-
HQ009092	ncbi-nuccore-equine	As	-
HQ009093	ncbi-nuccore-equine	As	-
HQ009094	ncbi-nuccore-equine	As	-
HQ009095	ncbi-nuccore-equine	As	-
HQ009096	ncbi-nuccore-equine	As	-
HQ009097	ncbi-nuccore-equine	As	-
HQ009098	ncbi-nuccore-equine	As	-
HQ009099	ncbi-nuccore-equine	As	-
HQ009100	ncbi-nuccore-equine	As	-
HQ009101	ncbi-nuccore-equine	As	-
HQ009102	ncbi-nuccore-equine	As	-
HQ009103	ncbi-nuccore-equine	As	-
HQ009104	ncbi-nuccore-equine	As	-
HQ009105	ncbi-nuccore-equine	As	-
HQ009106	ncbi-nuccore-equine	As	-
HQ009107	ncbi-nuccore-equine	As	-
HQ009108	ncbi-nuccore-equine	As	-
HQ009109	ncbi-nuccore-equine	As	-
HQ009110	ncbi-nuccore-equine	As	-
HQ009111	ncbi-nuccore-equine	As	-
HQ009112	ncbi-nuccore-equine	As	-
HQ009113	ncbi-nuccore-equine	As	-
HQ009114	ncbi-nuccore-equine	As	-
HQ009115	ncbi-nuccore-equine	As	-
HQ009116	ncbi-nuccore-equine	As	-
HQ009117	ncbi-nuccore-equine	As	-
HQ009118	ncbi-nuccore-equine	As	-
HQ009119	ncbi-nuccore-equine	As	-
HQ009120	ncbi-nuccore-equine	As	-
HQ009121	ncbi-nuccore-equine	As	-
HQ009122	ncbi-nuccore-equine	As	-
HQ009123	ncbi-nuccore-equine	As	-
HQ009124	ncbi-nuccore-equine	As	-
HQ009125	ncbi-nuccore-equine	As	-
HQ009126	ncbi-nuccore-equine	As	-
HQ009127	ncbi-nuccore-equine	As	-
HQ009128	ncbi-nuccore-equine	As	-
HQ009129	ncbi-nuccore-equine	As	-
HQ009130	ncbi-nuccore-equine	As	-
HQ009131	ncbi-nuccore-equine	As	-
HQ009132	ncbi-nuccore-equine	As	-
HQ009133	ncbi-nuccore-equine	As	-
HQ009134	ncbi-nuccore-equine	As	-
HQ009135	ncbi-nuccore-equine	As	-
HQ009136	ncbi-nuccore-equine	As	-
HQ009137	ncbi-nuccore-equine	As	-
HQ009138	ncbi-nuccore-equine	As	-
HQ009139	ncbi-nuccore-equine	As	-
HQ009140	ncbi-nuccore-equine	As	-
HQ009141	ncbi-nuccore-equine	As	-
HQ009142	ncbi-nuccore-equine	As	-
HQ009143	ncbi-nuccore-equine	As	-
HQ009144	ncbi-nuccore-equine	As	-
HQ009145	ncbi-nuccore-equine	As	-
HQ009146	ncbi-nuccore-equine	As	-
HQ009147	ncbi-nuccore-equine	As	-
HQ009148	ncbi-nuccore-equine	As	-
HQ009149	ncbi-nuccore-equine	As	-
HQ009150	ncbi-nuccore-equine	As	-
HQ009151	ncbi-nuccore-equine	As	-
HQ009152	ncbi-nuccore-equine	As	-
HQ009153	ncbi-nuccore-equine	As	-
HQ009154	ncbi-nuccore-equine	As	-
HQ009155	ncbi-nuccore-equine	As	-
HQ009156	ncbi-nuccore-equine	As	-
HQ009157	ncbi-nuccore-equine	As	-
HQ009158	ncbi-nuccore-equine	As	-
HQ009159	ncbi-nuccore-equine	As	-
HQ009160	ncbi-nuccore-equine	As	-
HQ009161	ncbi-nuccore-equine	As	-
HQ009162	ncbi-nuccore-equine	As	-
HQ009163	ncbi-nuccore-equine	As	-
HQ009164	ncbi-nuccore-equine	As	-
HQ009165	ncbi-nuccore-equine	As	-
HQ009166	ncbi-nuccore-equine	As	-
HQ009167	ncbi-nuccore-equine	As	-
HQ009168	ncbi-nuccore-equine	As	-
HQ009169	ncbi-nuccore-equine	As	-
HQ009170	ncbi-nuccore-equine	As	-
HQ009171	ncbi-nuccore-equine	As	-
HQ009172	ncbi-nuccore-equine	As	-
HQ009173	ncbi-nuccore-equine	As	-
HQ009174	ncbi-nuccore-equine	As	-
HQ009175	ncbi-nuccore-equine	As	-
HQ009176	ncbi-nuccore-equine	As	-
HQ009177	ncbi-nuccore-equine	As	-
HQ009178	ncbi-nuccore-equine	As	-
HQ009179	ncbi-nuccore-equine	As	-
HQ009180	ncbi-nuccore-equine	As	-
HQ009181	ncbi-nuccore-equine	As	-
HQ009182	ncbi-nuccore-equine	As	-
HQ009183	ncbi-nuccore-equine	As	-
HQ009184	ncbi-nuccore-equine	As	-
HQ009185	ncbi-nuccore-equine	As	-
HQ009186	ncbi-nuccore-equine	As	-
HQ009187	ncbi-nuccore-equine	As	-
HQ009188	ncbi-nuccore-equine	As	-
HQ009189	ncbi-nuccore-equine	As	-
HQ009190	ncbi-nuccore-equine	As	-
HQ009191	ncbi-nuccore-equine	As	-
HQ009192	ncbi-nuccore-equine	As	-
HQ009193	ncbi-nuccore-equine	As	-
HQ009194	ncbi-nuccore-equine	As	-
HQ009195	ncbi-nuccore-equine	As	-
HQ009196	ncbi-nuccore-equine	As	-
HQ009197	ncbi-nuccore-equine	As	-
HQ009198	ncbi-nuccore-equine	As	-
HQ009199	ncbi-nuccore-equine	As	-
HQ009200	ncbi-nuccore-equine	As	-
HQ009201	ncbi-nuccore-equine	As	-
HQ009202	ncbi-nuccore-equine	As	-
HQ009203	ncbi-nuccore-equine	As	-
HQ009204	ncbi-nuccore-equine	As	-
HQ009205	ncbi-nuccore-equine	As	-
HQ009206	ncbi-nuccore-equine	As	-
HQ009207	ncbi-nuccore-equine	As	-
HQ009208	ncbi-nuccore-equine	As	-
HQ009209	ncbi-nuccore-equine	As	-
HQ009210	ncbi-nuccore-equine	As	-
HQ009211	ncbi-nuccore-equine	As	-
HQ009212	ncbi-nuccore-equine	As	-
HQ009213	ncbi-nuccore-equine	As	-
HQ009214	ncbi-nuccore-equine	As	-
HQ009215	ncbi-nuccore-equine	As	-
HQ009216	ncbi-nuccore-equine	As	-
HQ009217	ncbi-nuccore-equine	As	-
HQ009218	ncbi-nuccore-equine	As	-
HQ009219	ncbi-nuccore-equine	As	-
HQ009220	ncbi-nuccore-equine	As	-
HQ009221	ncbi-nuccore-equine	As	-
HQ009222	ncbi-nuccore-equine	As	-
HQ009223	ncbi-nuccore-equine	As	-
HQ009224	ncbi-nuccore-equine	As	-
HQ009225	ncbi-nuccore-equine	As	-
HQ009226	ncbi-nuccore-equine	As	-
HQ009227	ncbi-nuccore-equine	As	-
HQ009228	ncbi-nuccore-equine	As	-
HQ009229	ncbi-nuccore-equine	As	-
HQ009230	ncbi-nuccore-equine	As	-
HQ009231	ncbi-nuccore-equine	As	-
HQ009232	ncbi-nuccore-equine	As	-
HQ009233	ncbi-nuccore-equine	As	-
HQ009234	ncbi-nuccore-equine	As	-
HQ009235	ncbi-nuccore-equine	As	-
HQ009236	ncbi-nuccore-equine	As	-
HQ009237	ncbi-nuccore-equine	As	-
HQ009238	ncbi-nuccore-equine	As	-
HQ009239	ncbi-nuccore-equine	As	-
HQ009240	ncbi-nuccore-equine	As	-
HQ009241	ncbi-nuccore-equine	As	-
HQ009242	ncbi-nuccore-equine	As	-
HQ009243	ncbi-nuccore-equine	As	-
HQ009244	ncbi-nuccore-equine	As	-
HQ009245	ncbi-nuccore-equine	As	-
HQ009246	ncbi-nuccore-equine	As	-
HQ009247	ncbi-nuccore-equine	As	-
HQ009248	ncbi-nuccore-equine	As	-
HQ009249	ncbi-nuccore-equine	As	-
HQ009250	ncbi-nuccore-equine	As	-
HQ009251	ncbi-nuccore-equine	As	-
HQ009252	ncbi-nuccore-equine	As	-
HQ009253	ncbi-nuccore-equine	As	-
HQ009254	ncbi-nuccore-equine	As	-
HQ009255	ncbi-nuccore-equine	As	-
HQ009256	ncbi-nuccore-equine	As	-
HQ009257	ncbi-nuccore-equine	As	-
HQ009258	ncbi-nuccore-equine	As	-
HQ009259	ncbi-nuccore-equine	As	-
HQ009260	ncbi-nuccore-equine	As	-
HQ009261	ncbi-nuccore-equine	As	-
HQ223289	ncbi-nuccore-equine	As	-
HQ223290	ncbi-nuccore-equine	As	-
HQ223291	ncbi-nuccore-equine	As	-
HQ223292	ncbi-nuccore-equine	As	-
HQ223293	ncbi-nuccore-equine	As	-
HQ223294	ncbi-nuccore-equine	As	-
HQ223295	ncbi-nuccore-equine	As	-
HQ223296	ncbi-nuccore-equine	As	-
HQ223297	ncbi-nuccore-equine	As	-
HQ223298	ncbi-nuccore-equine	As	-
HQ223299	ncbi-nuccore-equine	As	-
HQ223300	ncbi-nuccore-equine	As	-
HQ223301	ncbi-nuccore-equine	As	-
HQ223302	ncbi-nuccore-equine	As	-
HQ223303	ncbi-nuccore-equine	As	-
HQ223304	ncbi-nuccore-equine	As	-
HQ223305	ncbi-nuccore-equine	As	-
HQ223306	ncbi-nuccore-equine	As	-
HQ223307	ncbi-nuccore-equine	As	-
HQ223308	ncbi-nuccore-equine	As	-
HQ223309	ncbi-nuccore-equine	As	-
HQ223310	ncbi-nuccore-equine	As	-
HQ223311	ncbi-nuccore-equine	As	-
HQ223312	ncbi-nuccore-equine	As	-
HQ223313	ncbi-nuccore-equine	As	-
HQ223314	ncbi-nuccore-equine	As	-
HQ223315	ncbi-nuccore-equine	As	-
HQ223316	ncbi-nuccore-equine	As	-
HQ223317	ncbi-nuccore-equine	As	-
HQ223318	ncbi-nuccore-equine	As	-
HQ223319	ncbi-nuccore-equine	As	-
HQ223320	ncbi-nuccore-equine	As	-
